player_name;position;squad;age;born_year;match_played;minutes_played;minutes_per_match;first_eleven;90_mins_complated;points_per_match;yellow_card;red_card;second_yellow_card;fouls_committed;fouls_drawn;offsides;crosses;interceptions;tackles_won;own_goals;goals;assists;shots;shots_on_target;penalty_goals;penalty_attempts
Emre Kılınç;MF;Galatasaray;25;1994;35;2292;65.0;27;2;2.2;0;1;0;33;29;4;107;15;22;0;4;4;46;18;0;0
Safa Kınalı;MF;Trabzonspor;21;1999;9;111;12.0;1;0;1.78;1;0;0;3;2;0;0;2;3;0;0;0;2;2;0;0
Batuhan Kırdaroğlu;FW;Göztepe;19;2000;1;9;9.0;0;0;3.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Stelios Kitsiou;DF;Ankaragücü;26;1993;30;2519;84.0;29;25;1.13;11;0;0;37;64;0;52;42;65;0;1;4;23;5;0;0
Arda Kızıldağ;DF;Gençlerbirliği;21;1998;31;2432;78.0;27;25;0.87;8;0;0;28;40;3;3;72;48;2;1;0;15;2;0;0
Alberk Koç;DF;Rizespor;23;1997;8;136;17.0;1;1;0.75;0;0;0;2;0;0;14;2;0;0;0;0;2;0;0;0
Anıl Koç;MF;Kasımpaşa;25;1995;25;738;30.0;7;0;1.24;0;1;0;16;11;2;28;7;2;0;1;2;14;7;0;0
Bengali-Fodé Koita;FW.MF;Kasımpaşa;29;1990;13;671;52.0;6;2;1.15;2;0;0;13;19;8;0;0;0;0;3;0;21;11;0;0
Dimitrios Kolovetsios;DF;Kayserispor;28;1991;35;315;90.0;35;35;0.94;6;0;0;26;11;1;2;56;16;0;1;0;15;2;0;0
Arouna Koné;MF.FW;Sivasspor;36;1983;32;573;18.0;2;0;1.56;1;0;0;3;7;6;3;1;2;0;1;0;17;7;0;1
Youssouf Koné;DF;Hatayspor;25;1995;6;99;17.0;1;0;1.67;0;1;0;2;1;0;9;3;1;0;0;0;0;0;0;0
Gilbert Koomson;MF;Kasımpaşa;25;1994;22;1171;53.0;16;0;1.0;0;0;0;15;10;3;35;17;12;0;0;1;8;2;0;0
Nurettin Korkmaz;FW;Kayserispor;18;2002;11;145;13.0;0;0;1.45;2;0;0;4;2;0;8;2;2;0;0;0;2;0;0;0
İsmail Köybaşı;DF;Rizespor;31;1989;20;1246;62.0;14;9;1.85;3;0;0;22;8;5;39;42;17;0;3;2;10;4;0;0
Zvonimir Kožulj;MF;Gaziantep FK;26;1993;18;480;27.0;3;1;1.83;2;0;0;13;12;0;14;4;6;0;0;0;8;2;0;0
Artem Kravets;FW;Konyaspor;31;1989;29;1519;52.0;16;11;1.07;4;0;0;17;21;2;8;4;10;0;9;2;45;22;1;1
Fyodor Kudryashov;DF;Antalyaspor;33;1987;37;3138;85.0;35;30;1.16;5;1;1;24;22;0;25;55;30;0;0;0;4;0;0;0
Furkan Külekçi;FW;Kasımpaşa;19;2001;4;27;7.0;0;0;0.75;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
Ante Kulušić;DF;Ankaragücü;34;1986;19;16;84.0;18;17;1.05;3;0;0;16;5;2;3;28;14;2;0;0;4;1;0;0
Fatih Kuruçuk;DF;Fatih Karagümrük;22;1998;14;126;90.0;14;14;1.21;4;0;0;13;13;2;1;20;5;0;0;0;6;2;0;0
Berkan Kutlu;MF;Alanyaspor;22;1998;38;2433;64.0;26;20;1.47;5;0;0;40;19;1;25;27;31;0;3;2;44;19;0;0
